,Variable,chisquare value,p value
1,Gender,5.547826086956523,0.23555740488856244
2,Age,24.937139548528418,0.015123575284894669
3,Place_grownup_in,30.4778039678223,0.16941646997913404
4,educational_designation,5.6680686505015,0.684356693869781
5,school region,28.709976098107596,0.2312371366279385
6,school Type,5.311444514455573,0.7238286950736619
7,school board,11.969283517599312,0.1525796477012316
8,college location,191.31685890239817,0.001251177700785957
9,educational stream,64.91395508184169,0.19390619090963995
